6,8,9,14,17,18,19,22,24,25,28,29,31,32,44,45,50,55,58,64,70,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122,123,124,131,132,133,134,135,136,weekday_5,13_one_hot_A0,13_one_hot_A1,13_one_hot_A2,13_one_hot_A3,13_one_hot_A4,13_one_hot_A5,13_one_hot_nan,15_one_hot_A1,15_one_hot_A3,15_one_hot_nan,16_one_hot_A0,16_one_hot_A1,16_one_hot_A2,16_one_hot_nan,20_one_hot_A0,20_one_hot_A1,20_one_hot_nan,21_one_hot_AA01,21_one_hot_AB01,21_one_hot_AB13,21_one_hot_nan,26_one_hot_A1,26_one_hot_A2,26_one_hot_A3,26_one_hot_nan,27_one_hot_A211,27_one_hot_A220,27_one_hot_nan,30_one_hot_A1.0,30_one_hot_A2.0,30_one_hot_A3.0,30_one_hot_A6.0,30_one_hot_A7.0,30_one_hot_A8.0,30_one_hot_A99.0,30_one_hot_Anan,30_one_hot_nan,33_one_hot_A0,33_one_hot_AD1,33_one_hot_AD12,33_one_hot_AD2,33_one_hot_AD5,33_one_hot_AD6,33_one_hot_AD7,33_one_hot_Anan,33_one_hot_nan,34_one_hot_A0.0,34_one_hot_A1.0,34_one_hot_Anan,34_one_hot_nan,35_one_hot_A2,35_one_hot_A4,35_one_hot_A5,35_one_hot_AA,35_one_hot_AB,35_one_hot_AC,35_one_hot_AK,35_one_hot_AN,35_one_hot_AP,35_one_hot_AQ,35_one_hot_AS,35_one_hot_nan,36_one_hot_A,36_one_hot_A0,36_one_hot_A1,36_one_hot_Anan,36_one_hot_nan,38_one_hot_A0,38_one_hot_A1,38_one_hot_nan,39_one_hot_A0,39_one_hot_A1,39_one_hot_nan,40_one_hot_A0,40_one_hot_A1,40_one_hot_nan,66_one_hot_AA1-V4-1,66_one_hot_AA2-V4-1,66_one_hot_AA3-V4-1,66_one_hot_AA4-V4-1,66_one_hot_AA5-V4-1,66_one_hot_AA6-V4-1,66_one_hot_Anan,66_one_hot_nan,69_one_hot_A0,69_one_hot_A1,69_one_hot_nan,72_one_hot_A1,72_one_hot_A5,72_one_hot_nan,73_one_hot_A1,73_one_hot_A5,73_one_hot_nan,74_one_hot_A1,74_one_hot_A5,74_one_hot_nan,76_one_hot_AA1,76_one_hot_AA2,76_one_hot_AA3,76_one_hot_AA4,76_one_hot_AA5,76_one_hot_AA6,76_one_hot_Anan,76_one_hot_nan,77_one_hot_AA1,77_one_hot_AA2,77_one_hot_AA3,77_one_hot_AA4,77_one_hot_AA5,77_one_hot_AA6,77_one_hot_Anan,77_one_hot_nan,78_one_hot_AA1,78_one_hot_AA3,78_one_hot_Anan,78_one_hot_nan,81_one_hot_A,81_one_hot_A1,81_one_hot_A2,81_one_hot_A3,81_one_hot_A4,81_one_hot_A5,81_one_hot_A6,81_one_hot_A7,81_one_hot_A8,81_one_hot_A9,81_one_hot_Anan,81_one_hot_nan,6_outlier,8_outlier,9_outlier,14_outlier,22_outlier,24_outlier,29_outlier,32_outlier,70_outlier,84_outlier,89_outlier,94_outlier,97_outlier,101_outlier,102_outlier,104_outlier,105_outlier,107_outlier,108_outlier,110_outlier,111_outlier,113_outlier,114_outlier,122_outlier,131_outlier,132_outlier,134_outlier,135_outlier,136_outlier,标签
0,46,4061.68,34,23,171,1,10000,3,2230,5,2.497,209800,151895.2,29,255,1,0,0,3,12,20,198,26,1,2,20,198,26,1,2,20,197,26,1,2,11,1,985.58,50.0,1,2162.32,151895.2,1,26.78,10000,0,0.0,0,1,193.67,151895.2,0,1,1,0,20,198,26,1,2,20,11,595,25,10,1628.042,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,9,6,0,5,10,8,11,3,3,3,8,6,4,10,8,7,7,4,4,11,11,3,7,10,7,7,7,1
0,2,3830.93,126,20,131,1,10000,6,494,5,2.497,409000,229858.0,8,68,0,0,3,3,1,20,192,51,0,6,20,192,51,0,6,20,191,51,0,6,10,1,652.68,100.0,1,2343.69,229858.0,1,24.11,20000,1,61.15,80000,0,0.0,0.0,1,1,0,0,20,192,25,1,11,11,0,1714,25,11,0.0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,4,8,11,0,7,10,11,0,8,7,7,7,4,7,10,11,7,9,7,9,0,0,3,5,3,7,8,4,1
0,2,1912.06,104,14,90,1,10000,3,1213,5,1.497,105400,82633.6,16,162,0,0,3,2,1,14,128,40,1,11,14,128,40,1,11,14,127,40,1,11,9,1,748.94,50.0,1,778.6,82633.6,1,78.41,50000,1,39.78,40000,0,0.0,0.0,0,1,0,0,14,128,40,1,11,13,5,3703,17,10,786.418,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,5,11,0,5,4,6,0,6,6,6,7,5,4,5,6,11,11,6,7,0,0,6,5,6,3,7,6,1
0,3,2067.63,3,11,66,1,10000,3,4605,5,1.997,139900,101287.6,100,651,0,0,3,2,1,11,103,45,1,7,11,103,45,1,7,11,102,45,1,7,4,1,804.02,100.0,1,993.92,101287.6,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,11,103,45,1,7,27,1,4021,20,8,1011.136,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,5,4,0,5,7,6,0,7,6,6,4,5,7,6,7,4,4,4,4,0,0,6,8,4,4,4,6,0
0,1,1432.19,32,19,114,1,10000,8,3588,5,1.599,85800,36379.2,79,522,0,0,0,4,1,19,166,39,1,10,19,166,39,1,10,19,165,39,1,10,2,1,1245.38,100.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,9,92,28,1,10,1,0,1895,25,1,0.0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,4,6,0,8,5,4,0,5,5,5,3,8,7,3,3,4,4,4,4,0,0,4,3,3,7,0,4,0
0,1,2572.34,3,35,265,1,10000,1,3001,7,1.497,69800,65193.2,57,404,0,0,1,1,1,35,393,44,1,12,35,393,44,1,12,35,392,44,1,12,6,1,1214.94,100.0,1,1019.82,65193.2,1,2.06,1000,0,0.0,0,0,0.0,0.0,0,0,0,0,35,393,44,1,12,13,0,1343,25,7,0.0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,6,4,0,4,4,5,0,6,6,6,5,8,7,6,5,4,4,4,4,0,0,6,5,3,7,3,4,0
0,1,601.39,35,32,242,1,0,5,2693,6,1.998,69700,44189.8,46,344,0,0,3,3,1,32,366,40,1,5,32,366,40,1,5,32,365,40,1,5,6,1,227.61,50.0,1,274.93,44189.8,1,20.41,50000,0,0.0,0,0,0.0,0.0,0,0,0,0,32,366,40,1,5,11,5,1533,25,9,463.0,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,4,3,7,0,6,7,4,0,6,6,6,5,1,4,4,5,6,11,4,4,0,0,6,5,6,7,5,5,1
0,30,2102.84,3,13,72,1,20000,3,2193,5,1.598,104800,75246.4,29,252,0,0,3,3,1,13,109,49,1,9,13,109,49,1,9,13,108,49,1,9,8,1,974.61,100.0,1,796.56,75246.4,1,16.07,10000,1,41.31,40000,0,0.0,0.0,0,0,0,0,13,109,49,1,9,9,1,3283,25,7,59.868,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,6,5,4,11,5,5,5,0,7,7,7,6,6,7,5,6,6,7,6,7,0,0,7,4,4,7,3,4,1
0,1,1964.38,3,12,73,1,10000,9,4117,7,1.206,40300,13943.8,91,591,0,0,0,2,1,12,110,29,1,11,12,110,29,1,11,12,109,29,1,11,2,1,1708.16,100.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,12,110,29,1,11,17,9,3101,25,8,1263.467,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,5,4,0,9,3,3,0,4,4,4,3,11,7,3,3,4,4,4,4,0,0,4,6,9,7,4,7,1
0,44,3267.82,34,23,175,1,0,1,2907,5,1.2990000000000002,91800,85190.4,50,380,1,0,0,3,7,23,254,42,1,5,23,254,42,1,5,23,253,42,1,5,11,1,1282.65,100.0,1,1004.01,85190.4,1,26.78,10000,1,68.85,40000,0,0.0,0.0,1,0,0,0,23,254,41,1,8,14,11,603,25,9,6116.908,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,7,7,6,0,4,3,6,11,6,6,6,8,8,7,6,6,7,7,7,7,0,0,6,5,10,7,5,11,1
